Invoice_ID,Branch	,City	,Year,	Month,	Customer_type,	Gender,	Product_line,	Unit_price,	Quantity,	Tax, 	Total,Payment,	cost_of_good_sold	,gross_margin_percentage,	gross_income,Rating
871-79-8483,B,Mandalay,2019,February,Normal,Male,Fashion accessories,94,5,24,494,Credit card,471,5,24,5
149-71-6266,B,Mandalay,2019,January,Member,Male,Sports and travel,78,9,35,738,Cash,703,5,35,5
640-49-2076,B,Mandalay,2019,January,Normal,Male,Sports and travel,84,8,34,704,Cash,670,5,34,5
595-11-5460,A,Yangon,2019,March,Normal,Male,Health and beauty,97,2,10,203,Credit card,193,5,10,5
183-56-6882,C,Naypyitaw,2019,February,Member,Female,Food and beverages,99,4,20,418,Ewallet,398,5,20,8
232-16-2483,C,Naypyitaw,2019,January,Member,Female,Sports and travel,68,1,3,72,Ewallet,68,5,3,7
129-29-8530,A,Yangon,2019,March,Member,Male,Sports and travel,63,5,16,329,Ewallet,313,5,16,7
272-65-1806,A,Yangon,2019,January,Normal,Female,Electronic accessories,61,9,27,575,Ewallet,548,5,27,5
333-73-7901,C,Naypyitaw,2019,March,Normal,Female,Health and beauty,55,8,22,461,Ewallet,439,5,22,8
777-82-7220,B,Mandalay,2019,March,Member,Male,Home and lifestyle,30,8,12,253,Cash,241,5,12,8
280-35-5823,B,Mandalay,2019,January,Member,Female,Home and lifestyle,87,1,4,91,Ewallet,87,5,4,8
554-53-8700,C,Naypyitaw,2019,February,Member,Male,Home and lifestyle,56,2,6,118,Cash,112,5,6,6
354-25-5821,B,Mandalay,2019,February,Member,Female,Sports and travel,69,6,21,435,Cash,415,5,21,6
228-96-1411,C,Naypyitaw,2019,March,Member,Female,Food and beverages,99,8,40,829,Cash,790,5,39,8
617-15-4209,C,Naypyitaw,2019,March,Member,Male,Health and beauty,15,2,2,32,Cash,31,5,2,7
132-32-9879,B,Mandalay,2019,March,Member,Female,Electronic accessories,94,4,19,395,Cash,376,5,19,10
370-41-7321,B,Mandalay,2019,February,Member,Male,Health and beauty,57,9,26,536,Credit card,510,5,26,8
727-46-3608,B,Mandalay,2019,February,Member,Female,Food and beverages,20,9,9,189,Ewallet,180,5,9,4
669-54-1719,B,Mandalay,2019,February,Member,Male,Electronic accessories,19,6,6,119,Credit card,114,5,6,8
574-22-5561,C,Naypyitaw,2019,March,Member,Female,Fashion accessories,83,10,41,868,Ewallet,826,5,41,8
326-78-5178,C,Naypyitaw,2019,February,Member,Male,Food and beverages,91,7,32,672,Cash,640,5,32,10
162-48-8011,A,Yangon,2019,February,Member,Female,Food and beverages,45,5,11,234,Cash,223,5,11,9
616-24-2851,B,Mandalay,2019,March,Member,Female,Fashion accessories,18,4,4,75,Ewallet,71,5,4,7
778-71-5554,C,Naypyitaw,2019,January,Member,Male,Fashion accessories,15,1,1,16,Credit card,15,5,1,6
242-55-6721,B,Mandalay,2019,March,Normal,Male,Home and lifestyle,16,2,2,34,Ewallet,32,5,2,7
399-46-5918,C,Naypyitaw,2019,February,Normal,Female,Electronic accessories,86,8,34,722,Cash,688,5,34,8
106-35-6779,A,Yangon,2019,March,Member,Male,Home and lifestyle,44,2,4,93,Cash,89,5,4,6
635-40-6220,A,Yangon,2019,February,Normal,Male,Health and beauty,90,8,36,753,Ewallet,717,5,36,7
817-48-8732,A,Yangon,2019,January,Member,Female,Home and lifestyle,72,10,36,760,Cash,724,5,36,5
120-06-4233,C,Naypyitaw,2019,March,Normal,Male,Electronic accessories,31,6,9,193,Cash,184,5,9,9
285-68-5083,C,Naypyitaw,2019,February,Member,Female,Sports and travel,25,3,4,78,Credit card,74,5,4,10
803-83-5989,C,Naypyitaw,2019,February,Normal,Male,Home and lifestyle,56,6,17,351,Ewallet,334,5,17,7
347-34-2234,B,Mandalay,2019,February,Member,Female,Sports and travel,55,9,25,520,Ewallet,496,5,25,10
199-75-8169,A,Yangon,2019,March,Member,Male,Sports and travel,16,10,8,166,Credit card,158,5,8,9
853-23-2453,B,Mandalay,2019,February,Member,Male,Health and beauty,76,4,15,318,Cash,303,5,15,8
877-22-3308,A,Yangon,2019,March,Member,Male,Health and beauty,16,10,8,167,Cash,159,5,8,6
838-78-4295,C,Naypyitaw,2019,February,Normal,Female,Health and beauty,34,2,3,70,Ewallet,67,5,3,7
109-28-2512,B,Mandalay,2019,January,Member,Female,Fashion accessories,98,6,29,615,Ewallet,586,5,29,10
232-11-3025,A,Yangon,2019,January,Normal,Male,Sports and travel,79,10,39,827,Cash,788,5,39,6
382-03-4532,A,Yangon,2019,February,Member,Female,Health and beauty,18,1,1,19,Cash,18,5,1,4
393-65-2792,C,Naypyitaw,2019,January,Normal,Male,Food and beverages,90,10,45,940,Credit card,895,5,45,10
796-12-2025,C,Naypyitaw,2019,February,Normal,Male,Fashion accessories,62,10,31,652,Cash,621,5,31,6
510-95-6347,B,Mandalay,2019,March,Member,Female,Food and beverages,49,3,7,153,Ewallet,146,5,7,4
841-35-6630,C,Naypyitaw,2019,March,Normal,Female,Electronic accessories,76,6,23,478,Cash,455,5,23,9
287-21-9091,A,Yangon,2019,January,Normal,Male,Home and lifestyle,75,9,34,706,Ewallet,672,5,34,9
732-94-0499,C,Naypyitaw,2019,January,Normal,Female,Electronic accessories,42,10,21,437,Credit card,417,5,21,5
263-10-3913,C,Naypyitaw,2019,January,Member,Male,Fashion accessories,49,9,22,463,Credit card,441,5,22,9
381-20-0914,A,Yangon,2019,January,Member,Female,Fashion accessories,20,9,9,189,Credit card,180,5,9,6
829-49-1914,C,Naypyitaw,2019,March,Member,Female,Food and beverages,78,10,39,822,Ewallet,783,5,39,7
756-01-7507,C,Naypyitaw,2019,January,Normal,Female,Health and beauty,20,5,5,107,Cash,102,5,5,6
870-72-4431,C,Naypyitaw,2019,January,Normal,Female,Health and beauty,99,6,30,625,Credit card,595,5,30,6
847-38-7188,B,Mandalay,2019,January,Normal,Female,Food and beverages,97,3,15,305,Ewallet,290,5,15,6
480-63-2856,C,Naypyitaw,2019,January,Normal,Male,Food and beverages,19,8,8,162,Ewallet,154,5,8,7
787-56-0757,C,Naypyitaw,2019,February,Member,Female,Food and beverages,80,4,16,338,Credit card,321,5,16,8
360-39-5055,C,Naypyitaw,2019,March,Member,Male,Sports and travel,49,5,12,257,Cash,245,5,12,7
730-50-9884,C,Naypyitaw,2019,March,Normal,Female,Sports and travel,83,7,29,610,Ewallet,581,5,29,4
362-58-8315,C,Naypyitaw,2019,March,Normal,Male,Fashion accessories,77,5,19,402,Cash,383,5,19,10
633-44-8566,A,Yangon,2019,March,Member,Male,Food and beverages,49,7,17,363,Credit card,346,5,17,7
504-35-8843,A,Yangon,2019,January,Normal,Male,Sports and travel,43,1,2,45,Cash,42,5,2,6
318-68-5053,B,Mandalay,2019,February,Normal,Female,Health and beauty,77,6,23,485,Cash,462,5,23,6
565-80-5980,C,Naypyitaw,2019,January,Member,Female,Home and lifestyle,47,4,10,199,Cash,190,5,9,7
225-32-0908,C,Naypyitaw,2019,January,Normal,Female,Sports and travel,45,10,22,471,Ewallet,449,5,22,8
873-51-0671,A,Yangon,2019,January,Member,Female,Sports and travel,22,7,8,162,Ewallet,154,5,8,5
152-08-9985,B,Mandalay,2019,March,Member,Male,Health and beauty,64,9,29,608,Credit card,579,5,29,9
512-91-0811,C,Naypyitaw,2019,February,Normal,Male,Health and beauty,90,1,5,94,Credit card,90,5,4,7
594-34-4444,A,Yangon,2019,March,Normal,Male,Electronic accessories,97,1,5,102,Ewallet,97,5,5,7
766-85-7061,B,Mandalay,2019,March,Normal,Male,Health and beauty,88,10,44,923,Ewallet,879,5,44,5
871-39-9221,C,Naypyitaw,2019,February,Normal,Female,Electronic accessories,12,6,4,78,Cash,75,5,4,4
865-92-6136,A,Yangon,2019,March,Normal,Male,Food and beverages,53,3,8,166,Ewallet,158,5,8,9
733-01-9107,B,Mandalay,2019,March,Normal,Male,Home and lifestyle,83,6,25,521,Cash,496,5,25,7
163-56-7055,C,Naypyitaw,2019,March,Member,Male,Fashion accessories,49,1,2,51,Cash,49,5,2,4
189-98-2939,C,Naypyitaw,2019,March,Normal,Male,Fashion accessories,79,9,35,742,Cash,707,5,35,7
551-21-3069,C,Naypyitaw,2019,February,Normal,Female,Electronic accessories,23,9,10,218,Cash,208,5,10,5
212-62-1842,A,Yangon,2019,March,Normal,Male,Food and beverages,58,6,18,367,Cash,350,5,17,10
716-39-1409,B,Mandalay,2019,March,Normal,Male,Health and beauty,30,7,11,223,Cash,212,5,11,8
704-48-3927,A,Yangon,2019,January,Member,Male,Electronic accessories,89,10,44,931,Ewallet,887,5,44,7
628-34-3388,C,Naypyitaw,2019,January,Normal,Male,Fashion accessories,27,6,8,172,Credit card,164,5,8,8
630-74-5166,A,Yangon,2019,March,Normal,Male,Sports and travel,62,6,19,391,Cash,373,5,19,7
588-01-7461,C,Naypyitaw,2019,March,Normal,Female,Food and beverages,34,9,15,321,Cash,306,5,15,4
861-77-0145,C,Naypyitaw,2019,March,Member,Male,Electronic accessories,82,10,41,861,Cash,820,5,41,9
479-26-8945,B,Mandalay,2019,February,Member,Female,Sports and travel,17,2,2,35,Ewallet,33,5,2,5
210-67-5886,C,Naypyitaw,2019,February,Member,Female,Health and beauty,98,3,15,309,Credit card,295,5,15,8
227-78-1148,B,Mandalay,2019,February,Normal,Female,Fashion accessories,73,7,26,535,Cash,510,5,25,8
645-44-1170,A,Yangon,2019,January,Member,Male,Home and lifestyle,58,9,26,549,Ewallet,523,5,26,4
237-01-6122,C,Naypyitaw,2019,February,Member,Female,Home and lifestyle,81,9,36,763,Credit card,727,5,36,10
225-98-1496,C,Naypyitaw,2019,March,Normal,Female,Fashion accessories,27,3,4,85,Credit card,81,5,4,7
291-32-1427,B,Mandalay,2019,March,Member,Male,Fashion accessories,22,5,6,115,Ewallet,110,5,5,5
659-65-8956,B,Mandalay,2019,January,Member,Male,Fashion accessories,51,1,3,54,Ewallet,51,5,3,5
642-32-2990,A,Yangon,2019,February,Normal,Female,Food and beverages,11,10,6,115,Ewallet,110,5,5,6
378-24-2715,B,Mandalay,2019,January,Normal,Male,Home and lifestyle,53,2,5,112,Ewallet,107,5,5,4
638-60-7125,A,Yangon,2019,February,Normal,Female,Electronic accessories,100,8,40,836,Credit card,796,5,40,5
659-36-1684,C,Naypyitaw,2019,January,Member,Male,Sports and travel,57,7,20,420,Credit card,400,5,20,7
219-22-9386,B,Mandalay,2019,March,Member,Male,Sports and travel,100,9,45,945,Credit card,900,5,45,4
336-78-2147,C,Naypyitaw,2019,March,Member,Male,Home and lifestyle,64,8,26,537,Credit card,511,5,26,5
268-27-6179,B,Mandalay,2019,March,Member,Female,Fashion accessories,57,8,23,474,Ewallet,452,5,23,7
668-90-8900,A,Yangon,2019,March,Normal,Female,Home and lifestyle,94,7,33,689,Credit card,656,5,33,5
870-54-3162,A,Yangon,2019,January,Normal,Female,Sports and travel,32,5,8,169,Cash,161,5,8,9
189-08-9157,C,Naypyitaw,2019,January,Normal,Female,Fashion accessories,32,9,14,300,Credit card,286,5,14,6
663-86-9076,C,Naypyitaw,2019,January,Member,Female,Food and beverages,69,8,27,576,Ewallet,548,5,27,9
549-84-7482,B,Mandalay,2019,February,Normal,Female,Sports and travel,90,9,41,853,Ewallet,813,5,41,7
191-10-6171,B,Mandalay,2019,January,Normal,Female,Fashion accessories,40,7,14,291,Cash,277,5,14,8
802-70-5316,A,Yangon,2019,March,Member,Female,Sports and travel,92,6,28,580,Cash,553,5,28,8
695-51-0018,B,Mandalay,2019,February,Normal,Female,Sports and travel,35,4,7,146,Cash,139,5,7,7
590-83-4591,B,Mandalay,2019,February,Member,Male,Electronic accessories,88,6,26,551,Credit card,525,5,26,9
483-71-1164,C,Naypyitaw,2019,March,Normal,Female,Health and beauty,81,6,24,512,Ewallet,488,5,24,5
597-78-7908,C,Naypyitaw,2019,February,Normal,Male,Fashion accessories,90,3,14,284,Cash,271,5,14,6
700-81-1757,A,Yangon,2019,January,Normal,Female,Electronic accessories,26,5,7,138,Credit card,132,5,7,9
354-39-5160,A,Yangon,2019,February,Member,Female,Home and lifestyle,34,6,10,217,Cash,207,5,10,10
241-72-9525,B,Mandalay,2019,February,Normal,Male,Sports and travel,52,10,26,545,Cash,519,5,26,8
575-30-8091,A,Yangon,2019,March,Normal,Male,Sports and travel,73,8,29,609,Ewallet,580,5,29,9
731-81-9469,C,Naypyitaw,2019,January,Member,Female,Sports and travel,90,10,45,943,Credit card,898,5,45,5
280-17-4359,C,Naypyitaw,2019,January,Member,Male,Health and beauty,91,10,45,950,Cash,905,5,45,8
338-65-2210,C,Naypyitaw,2019,February,Member,Female,Health and beauty,69,10,34,720,Cash,686,5,34,9
488-25-4221,C,Naypyitaw,2019,February,Member,Female,Food and beverages,30,1,2,32,Credit card,30,5,2,8
239-10-7476,A,Yangon,2019,January,Normal,Female,Home and lifestyle,78,6,23,491,Ewallet,468,5,23,8
458-41-1477,C,Naypyitaw,2019,March,Normal,Female,Health and beauty,46,6,14,291,Credit card,278,5,14,10
685-64-1609,A,Yangon,2019,February,Member,Female,Fashion accessories,30,10,15,316,Ewallet,301,5,15,9
568-90-5112,C,Naypyitaw,2019,March,Normal,Male,Health and beauty,66,4,13,278,Credit card,265,5,13,6
262-47-2794,B,Mandalay,2019,March,Member,Male,Home and lifestyle,72,8,29,604,Credit card,575,5,29,6
238-49-0436,A,Yangon,2019,March,Normal,Male,Health and beauty,33,8,13,273,Credit card,260,5,13,5
608-96-3517,B,Mandalay,2019,March,Member,Female,Fashion accessories,92,4,18,384,Credit card,366,5,18,5
584-86-7256,C,Naypyitaw,2019,March,Member,Male,Sports and travel,35,7,12,254,Credit card,242,5,12,7
746-94-0204,A,Yangon,2019,January,Normal,Male,Fashion accessories,83,9,38,787,Credit card,749,5,37,7
214-17-6927,C,Naypyitaw,2019,February,Normal,Female,Food and beverages,17,6,5,104,Ewallet,99,5,5,10
400-89-4171,C,Naypyitaw,2019,January,Normal,Female,Sports and travel,81,8,32,680,Cash,648,5,32,9
782-95-9291,A,Yangon,2019,February,Member,Male,Food and beverages,92,5,23,485,Credit card,461,5,23,9
279-74-2924,B,Mandalay,2019,January,Member,Male,Electronic accessories,72,1,4,76,Cash,72,5,4,6
307-85-2293,B,Mandalay,2019,March,Normal,Male,Home and lifestyle,50,5,13,264,Ewallet,251,5,13,10
743-04-1105,B,Mandalay,2019,March,Member,Male,Health and beauty,97,9,44,919,Ewallet,875,5,44,6
423-57-2993,B,Mandalay,2019,March,Normal,Male,Sports and travel,93,6,28,588,Ewallet,560,5,28,10
894-41-5205,C,Naypyitaw,2019,January,Normal,Female,Food and beverages,43,8,17,363,Credit card,345,5,17,8
275-28-0149,A,Yangon,2019,February,Normal,Male,Sports and travel,64,1,3,67,Cash,64,5,3,6
101-17-6199,A,Yangon,2019,March,Normal,Male,Food and beverages,46,7,16,337,Credit card,321,5,16,7
423-80-0988,C,Naypyitaw,2019,January,Normal,Male,Sports and travel,76,2,8,160,Ewallet,153,5,8,7
548-46-9322,B,Mandalay,2019,February,Normal,Male,Food and beverages,40,10,20,419,Credit card,399,5,20,6
505-02-0892,B,Mandalay,2019,February,Member,Male,Health and beauty,43,8,17,358,Ewallet,341,5,17,6
234-65-2137,C,Naypyitaw,2019,January,Normal,Male,Home and lifestyle,96,10,48,1004,Cash,956,5,48,5
687-47-8271,A,Yangon,2019,February,Normal,Male,Fashion accessories,99,10,50,1039,Credit card,990,5,49,9
796-32-9050,A,Yangon,2019,January,Normal,Male,Food and beverages,51,6,15,323,Cash,308,5,15,7
105-31-1824,A,Yangon,2019,February,Member,Male,Sports and travel,70,7,24,511,Credit card,487,5,24,9
249-42-3782,A,Yangon,2019,January,Normal,Male,Health and beauty,70,5,18,368,Ewallet,350,5,18,6
316-55-4634,B,Mandalay,2019,January,Member,Male,Food and beverages,80,5,20,420,Credit card,400,5,20,9
733-33-4967,C,Naypyitaw,2019,March,Normal,Male,Electronic accessories,21,8,8,175,Cash,167,5,8,6
608-27-6295,B,Mandalay,2019,January,Member,Male,Electronic accessories,53,6,16,333,Credit card,317,5,16,10
414-12-7047,B,Mandalay,2019,January,Normal,Male,Food and beverages,20,8,8,166,Ewallet,158,5,8,9
827-26-2100,A,Yangon,2019,March,Member,Male,Home and lifestyle,34,9,15,320,Ewallet,305,5,15,9
175-54-2529,A,Yangon,2019,March,Member,Male,Food and beverages,22,8,9,186,Credit card,177,5,9,10
139-52-2867,C,Naypyitaw,2019,February,Normal,Female,Fashion accessories,23,7,8,165,Credit card,158,5,8,5
407-63-8975,A,Yangon,2019,March,Normal,Male,Food and beverages,74,6,22,465,Ewallet,443,5,22,4
342-65-4817,C,Naypyitaw,2019,January,Member,Male,Health and beauty,87,3,13,273,Ewallet,260,5,13,10
130-98-8941,C,Naypyitaw,2019,February,Normal,Male,Fashion accessories,64,7,23,472,Cash,450,5,22,6
434-83-9547,C,Naypyitaw,2019,January,Member,Male,Food and beverages,39,8,15,323,Cash,308,5,15,8
851-28-6367,A,Yangon,2019,March,Member,Male,Sports and travel,16,10,8,163,Ewallet,155,5,8,8
824-88-3614,C,Naypyitaw,2019,January,Normal,Male,Health and beauty,34,8,14,288,Ewallet,274,5,14,6
586-25-0848,A,Yangon,2019,March,Normal,Female,Sports and travel,12,7,4,91,Credit card,86,5,4,7
895-66-0685,B,Mandalay,2019,March,Member,Male,Food and beverages,18,3,3,57,Ewallet,54,5,3,8
305-14-0245,B,Mandalay,2019,March,Member,Female,Home and lifestyle,95,8,38,794,Ewallet,756,5,38,8
732-04-5373,B,Mandalay,2019,February,Member,Male,Home and lifestyle,47,4,9,195,Cash,186,5,9,7
400-60-7251,A,Yangon,2019,February,Normal,Male,Home and lifestyle,74,1,4,78,Ewallet,74,5,4,10
593-65-1552,C,Naypyitaw,2019,January,Normal,Female,Home and lifestyle,70,4,14,293,Credit card,279,5,14,6
284-34-9626,B,Mandalay,2019,February,Normal,Female,Home and lifestyle,77,3,12,243,Credit card,231,5,12,7
437-58-8131,B,Mandalay,2019,January,Normal,Female,Fashion accessories,74,2,7,154,Ewallet,147,5,7,5
286-43-6208,C,Naypyitaw,2019,March,Normal,Female,Food and beverages,88,9,40,830,Cash,790,5,40,9
641-43-2399,B,Mandalay,2019,January,Normal,Male,Home and lifestyle,26,4,5,107,Ewallet,102,5,5,6
831-07-6050,A,Yangon,2019,March,Normal,Male,Electronic accessories,33,5,8,172,Credit card,164,5,8,10
556-86-3144,C,Naypyitaw,2019,January,Member,Female,Fashion accessories,74,1,4,78,Cash,74,5,4,5
848-24-9445,C,Naypyitaw,2019,March,Member,Male,Health and beauty,44,2,4,92,Cash,87,5,4,5
856-22-8149,A,Yangon,2019,March,Normal,Female,Home and lifestyle,25,1,1,27,Ewallet,25,5,1,6
699-01-4164,C,Naypyitaw,2019,March,Normal,Male,Health and beauty,42,4,8,174,Credit card,166,5,8,8
420-11-4919,C,Naypyitaw,2019,February,Member,Female,Food and beverages,71,5,18,375,Credit card,357,5,18,6
606-80-4905,C,Naypyitaw,2019,January,Member,Female,Sports and travel,19,6,6,121,Credit card,115,5,6,7
542-41-0513,B,Mandalay,2019,March,Member,Female,Electronic accessories,58,4,12,241,Cash,230,5,12,7
426-39-2418,C,Naypyitaw,2019,January,Normal,Male,Electronic accessories,61,7,22,451,Cash,430,5,21,10
875-46-5808,B,Mandalay,2019,February,Member,Male,Health and beauty,26,10,13,272,Ewallet,259,5,13,9
394-43-4238,B,Mandalay,2019,February,Member,Male,Home and lifestyle,18,5,4,93,Credit card,89,5,4,5
749-24-1565,A,Yangon,2019,January,Normal,Female,Health and beauty,23,9,10,218,Ewallet,207,5,10,8
672-51-8681,C,Naypyitaw,2019,January,Member,Female,Electronic accessories,67,9,30,630,Credit card,600,5,30,10
263-87-5680,C,Naypyitaw,2019,March,Member,Female,Home and lifestyle,29,10,14,300,Ewallet,285,5,14,8
573-58-9734,B,Mandalay,2019,March,Normal,Female,Fashion accessories,30,3,5,96,Ewallet,91,5,5,5
817-69-8206,B,Mandalay,2019,March,Normal,Female,Electronic accessories,100,9,45,942,Credit card,898,5,45,7
888-02-0338,A,Yangon,2019,January,Normal,Male,Electronic accessories,26,9,12,248,Ewallet,236,5,12,6
677-11-0152,C,Naypyitaw,2019,January,Normal,Female,Food and beverages,93,9,42,881,Cash,839,5,42,9
142-63-6033,B,Mandalay,2019,March,Normal,Male,Home and lifestyle,92,5,23,485,Ewallet,462,5,23,5
656-16-1063,B,Mandalay,2019,January,Normal,Male,Sports and travel,46,3,7,146,Credit card,139,5,7,4
891-58-8335,B,Mandalay,2019,March,Member,Female,Sports and travel,30,7,10,218,Cash,207,5,10,7
802-43-8934,A,Yangon,2019,March,Normal,Male,Home and lifestyle,18,1,1,19,Credit card,18,5,1,8
560-30-5617,B,Mandalay,2019,March,Normal,Female,Sports and travel,25,5,6,130,Cash,124,5,6,9
319-74-2561,A,Yangon,2019,February,Member,Female,Electronic accessories,95,3,14,298,Cash,284,5,14,6
549-03-9315,B,Mandalay,2019,February,Normal,Male,Fashion accessories,95,8,38,797,Ewallet,759,5,38,9
790-29-1172,B,Mandalay,2019,March,Normal,Female,Food and beverages,57,3,9,181,Credit card,172,5,9,8
239-36-3640,B,Mandalay,2019,January,Normal,Male,Electronic accessories,45,6,14,286,Ewallet,272,5,14,6
468-01-2051,B,Mandalay,2019,March,Normal,Male,Food and beverages,62,7,22,456,Ewallet,435,5,22,5
389-25-3394,C,Naypyitaw,2019,February,Normal,Male,Electronic accessories,12,5,3,62,Cash,59,5,3,9
279-62-1445,C,Naypyitaw,2019,February,Member,Female,Fashion accessories,13,1,1,13,Cash,13,5,1,8
213-72-6612,A,Yangon,2019,March,Normal,Male,Food and beverages,43,2,4,91,Cash,87,5,4,6
746-68-6593,C,Naypyitaw,2019,January,Member,Female,Sports and travel,87,2,9,183,Credit card,174,5,9,10
836-82-5858,B,Mandalay,2019,January,Member,Male,Health and beauty,69,9,31,656,Ewallet,624,5,31,4
583-72-1480,C,Naypyitaw,2019,January,Member,Male,Electronic accessories,37,4,7,156,Ewallet,148,5,7,10
466-61-5506,B,Mandalay,2019,February,Member,Female,Electronic accessories,91,6,27,571,Cash,544,5,27,5
721-86-6247,A,Yangon,2019,March,Normal,Female,Home and lifestyle,63,8,25,533,Ewallet,507,5,25,7
289-65-5721,B,Mandalay,2019,January,Normal,Female,Fashion accessories,81,2,8,171,Cash,163,5,8,7
545-46-3100,B,Mandalay,2019,March,Member,Female,Electronic accessories,11,3,2,33,Credit card,32,5,2,9
418-02-5978,B,Mandalay,2019,February,Normal,Female,Health and beauty,84,9,38,795,Cash,757,5,38,8
269-04-5750,B,Mandalay,2019,February,Member,Male,Fashion accessories,74,4,15,310,Cash,295,5,15,7
157-13-5295,A,Yangon,2019,March,Member,Male,Health and beauty,52,10,26,545,Ewallet,519,5,26,7
645-78-8093,A,Yangon,2019,January,Normal,Female,Sports and travel,93,2,9,196,Ewallet,186,5,9,4
211-30-9270,C,Naypyitaw,2019,January,Normal,Male,Health and beauty,17,5,4,91,Credit card,87,5,4,5
755-12-3214,C,Naypyitaw,2019,March,Member,Female,Fashion accessories,44,5,11,232,Credit card,221,5,11,9
346-84-3103,B,Mandalay,2019,March,Member,Female,Electronic accessories,13,5,3,69,Cash,66,5,3,4
478-06-7835,A,Yangon,2019,January,Normal,Male,Fashion accessories,90,1,5,94,Ewallet,90,5,4,5
540-11-4336,A,Yangon,2019,January,Normal,Male,Food and beverages,25,9,11,236,Credit card,224,5,11,6
448-81-5016,A,Yangon,2019,March,Normal,Male,Health and beauty,60,2,6,126,Credit card,120,5,6,6
142-72-4741,C,Naypyitaw,2019,February,Member,Male,Fashion accessories,93,2,9,196,Credit card,186,5,9,6
217-58-1179,A,Yangon,2019,January,Member,Male,Home and lifestyle,63,4,13,263,Cash,251,5,13,4
376-02-8238,B,Mandalay,2019,February,Normal,Male,Home and lifestyle,94,8,38,789,Credit card,751,5,38,8
530-90-9855,A,Yangon,2019,January,Member,Male,Home and lifestyle,48,8,19,400,Cash,381,5,19,6
866-05-7563,B,Mandalay,2019,February,Member,Female,Electronic accessories,81,3,12,256,Cash,244,5,12,5
604-70-6476,A,Yangon,2019,January,Member,Male,Fashion accessories,18,5,5,94,Ewallet,90,5,4,7
